title,tags
Shooting Fish,"crime comedi romanc london england nightclub chase fraud liar love thief wealth money scam hospit secretari busi wed parol con dishonesti two con artist (dan futterman, stuart townsend) hire an unwit medical-school student (kate beckinsale) as a secretari for their latest scam. stefan schwartz dan futterman stuart townsend kate beckinsal rowena cooper"
The Prophecy II,"fantasi horror thriller angel monk autopsi symbol hospit gabriel return to tri to destroy the human race he despis so much, with the help of a suicid teen and the opposit of the angel daniel. greg spenc christoph walken jennif beal brittani murphi eric robert"
Fallen Angels,"drama action romanc gambl assassin bar hitman surreal danger beer love cigarett smoke hong kong drifter bullet wound citi killer mysteri detach a disillus killer embark on hi last hit but first he ha to overcom hi affect for hi cool, detach partner. think it' danger and improp to becom involv with a colleague, he set out to find a surrog for hi affections. against the sordid and surreal urban nightscape, he cross path with a strang drifter look for her mysteri ex-boyfriend and an amus mute tri to get the world' attent in hi own unconvent ways. wong kar-wai leon lai michel rei takeshi kaneshiro charli yeung"
Four Days in September,"action drama foreign histori thriller assassin brazilian ambassador freedom drama plot revolutionari fernando, a journalist, and hi friend césar join terrorist group mr8 in order to fight brazilian dictatori regim dure the late sixties. cesare, however, is wound and captur dure a bank hold up. fernando then decid to kidnap the american ambassador in brazil and ask for the releas of fifteen polit prison in exchang for hi life. bruno barreto alan arkin pedro cardoso fernanda torr cláudia abreu"
Spice World,"adventur fantasi drama comedi music pop pop cultur pop star the film follow the spice girl and their entourag (mostli fiction characters) - manag clifford, hi assist deborah, filmmak pier (who is tri to shoot a documentari on ""the real spice girls"") and other in their everyday life. bob spier victoria beckham melani brown emma bunton melani chisholm"
Deep Rising,"adventur action horror scienc fiction ocean liner sea monster jewel heist arm robberi a group of heavili arm hijack board a luxuri ocean liner in the south pacif ocean to loot it, onli to do battl with a seri of large-sized, tentacled, man-eat sea creatur who have taken over the ship first. stephen sommer treat william famk janssen anthoni heald kevin j. o'connor"
Tainted,thriller comedi a sarcast comedi thriller about a vampir who set out to infect the blood of a hospit and the twenty-someth slacker who set out to stop him. brian evan jason brouwer t.j. timon
A Letter from Death Row,"drama crime mysteri a psycholog thriller that take you through the mind of convict killer, michael raine, and hi experi on death row. wa he guilti of kill hi girlfriend or wa he a victim of a conspiraci to frame him for a crime he didn't commit? as the stori unfold jessica foster, an assist to the governor of tennesse begin to interview rain while on death row, claim that she' write a book about the inmates. through variou circumstances, rain put two and two togeth and build a case that he believ can prove hi innocence...or doe he? ms. foster is the onli one on the 'outside"" who can give rain a voice, but is she work for those who frame him? as time draw near to the date of hi execution, in hi most desper hour rain find the miss piec to the puzzl to prove hi innocence, but is it too late...? wa thi stori told from raine' point of view or from the book writer or from yours, the viewer - you decide. bret michael bret michael martin sheen kristi gibson lorelei shellist"
Music from Another Room,"comedi drama romanc independ film music from anoth room is a romant comedi that follow the exploit of danny, a young man who grew up believ he wa destin to marri the girl he help deliv as a five year old boy when hi neighbor went into emerg labor. twenty-f year later, danni return to hi hometown and find the irresist anna swann but she find it easi to resist him sinc she is alreadi engag to dreamboat eric, a veri practic match. in pursuit of anna, danni find himself entangl with each of the eccentr swann includ blind, shelter nina, cynic sister karen, big brother bill and dramat mother grace as he fight to prove that fate should never be mess with and passion should never be practical. charli peter jude law jennif tilli gretchen mol martha plimpton"
Mother and Son,drama mother son relationship a slow and poignant stori of love and patienc told via a die mother nurs by her devot son. the simpl narr is a thread woven among the deepli spiritu imag of the countrysid and cottage. alexand sokurov aleksei ananishnov gudrun geyer
The Replacement Killers,"action drama crime thriller usa china assault rifl sniper chinatown drug dealer hitman funer conscienti objector reveng on the run fugit one man armi sunglass drug lord silenc uzi polic raid contract killer replac hire assassin john lee is ask by chinatown crime boss terenc wei to murder the young son of policeman stan zedkov. lee ha the boy in hi sights, but hi conscienc get the better of him, and he spare the child' life. afraid that wei will take reveng on hi famili in china, lee seek out expert forger meg coburn to obtain the passport he need to get out of the country, but a band of replac killer is soon on hi trail. antoin fuqua chow yun-fat mira sorvino michael rooker kenneth tsang"
B. Monkey,"romanc crime drama london england robberi doubl life jazz club thief suspens teacher when wist introvert alan furnac meet quick-wit bombshel beatrice, he ha no idea of her secret life as ""b. monkey"" -- the top thief-for-hir in london' crimin underworld. charm by furnace' innoc and chivalr ways, beatric resolv to reform. but to cash in on her first chanc at real love, she must escap her former partner in crime, the ruthless paul nevil -- and a dark past that seem to haunt her everi step. michael radford asia argento jare harri rupert everett jonathan rhi meyer"
The Night Flier,"mysteri horror fantasi journalist airport vampir airplan undead report seri of murder femal corps tabloid report two investig report for a tabloid magazin track down across countri ""the night flier"", a serial killer who travel by privat plane stalk victim in rural airports. one of the reporters, richard dees, begin to suspect that ""the night flier could perhap be a vampire"" mark pavia miguel ferrer juli entwisl dan monahan michael h. moss"
Blues Brothers 2000,"music action comedi crime prison blue half-broth orphanag band elwood, the now lone ""blue brother"" final releas from prison, is onc again enlist by sister mari stigmata in her latest crusad to rais fund for a children' hospital. onc again hit the road to re-unit the band and win the big prize at the new orlean battl of the bands, elwood is pursu cross-countri by the cops, led by cabel the curtis' son john landi dan aykroyd john goodman joe morton j. evan bonif"
Tokyo Fist,"romanc action drama thriller independ film a businessman, tsuda, run into a childhood friend, tajuki, on the subway. tajuki is work as a semiprofession boxer. tsuda soon begin to suspect that tajuki might be have an affair with hi fianc hizuru. after an altercation, tsuda begin train rigor himself, lead to an extrem bloody, violent confrontation. shinya tsukamoto shinya tsukamoto kaori fujii kôji tsukamoto naomasa musaka"
Ride,"comedi miami bu ride road trip independ film bu trip woman director harlem a group of young peopl leav harlem for a bu trip down to miami. the voyag start off with problems, but it end up becom a learn experience, as they end up learn thing about each other they had not previous known. millic shelton malik yoba melissa de sousa john witherspoon fredro starr"
The Wedding Singer,"romanc comedi wed vow marriag propos love of one' life bride bridegroom robbie, a local rock star turn wed singer, is dump on the day of hi wedding. meanwhile, waitress julia final set a wed date with her fiancé glenn. when julia and robbi meet and hit it off, they find that thing are more complic than anybodi thought. frank coraci adam sandler drew barrymor christin taylor allen covert"
Sphere,"scienc fiction ocean extraterrestri technolog space marin paranoia raumschiffabsturz alien psychologist ocean floor deepsea the ossa discov a spacecraft thought to be at least 300 year old at the bottom of the ocean. immedi follow the discovery, they decid to send a team down to the depth of the ocean to studi the space craft.they are the best of best, smart and logical, and the perfect choic to learn more about the spacecraft. barri levinson dustin hoffman sharon stone samuel l. jackson peter coyot"
Ayn Rand: A Sense of Life,"documentari ayn rand wa born in 1905 in st. petersberg, russia. she escap to america in 1926 amidst the rise of soviet communism. she remain in the unit state for the rest of her life, where she becam a much respect author of the fountainhead and atla shrugged. the theme of freedom and individu were to be her life' passion... michael paxton"
A Further Gesture,"drama thriller romanc dowd, an ira prison in the h-blocks, is gloomili face hi sentence, until he join a comrad in a riski escape. dowd begin a new life in new york, but he might as well be in prison again - until he strike up a friendship with co-work tulio and get to know hi close group of guatemalan exiles. robert dornhelm stephen rea brendan gleeson alfr molina rosana pastor"
Little City,"comedi romanc best friend adam and kevin have a lot in common. probabl too much! in fact, kevin is carri on a torrid affair with adam' girlfriend, nina, on the side! and if thi triangl wasn't crowd enough, the arriv of a seduct newcom in town, rebecca, promptli add a whole new set of twist to an alreadi tangl mix! here' a hilari look at how modern relationship have never been so complic ... or so much fun! roberto benabib jon bon jovi penelop ann miller annabella sciorra joe bellan"
Palmetto,mysteri thriller drama romanc crime sex kidnap scam cigarett smoke writer a recent releas ex-con get involv in a fake kidnap scheme that turn veri real. volker schlöndorff woodi harrelson gina gershon elisabeth shue michael rapaport
As Good as It Gets,"comedi romanc singl parent waitress lone wolf friendship neighbor author cowardli writer dog rude obnoxi unlik friendship noodl salad new york city. melvin udall, a cranky, bigoted, obsessive-compuls writer, find hi life turn upsid down when neighbor gay artist simon is hospit and hi dog is entrust to melvin. in addition, carol, the onli waitress who will toler him, must leav work to care for her sick son, make it imposs for melvin to eat breakfast. jame l. brook jack nicholson helen hunt greg kinnear cuba good jr."
King of New York,thriller crime male nuditi femal nuditi violenc religi statu aspirin a former drug lord return from prison determin to wipe out all hi competit and distribut the profit of hi oper to new york' poor and lower class in thi stylish and ultra violent modern twist on robin hood. abel ferrara christoph walken david caruso laurenc fishburn victor argo
A Paralyzing Fear: The Story of Polio in America,documentari thi is a veri clear and person present of the histori and human impact of a serious debilit diseas - one which we in the western world are too often tempt to think of in the past tense.
Men with Guns,"drama crime woman director three losers, eddie, luca and mamet, are sent to collect some debt at a remot farm. but the thug there are too hard for them, and they are humiliated. they return for revenge, it get out of hand, end with a bloodbath and they are left with a big amount of cocaine. the drug belong to local mob boss horac burke, who send hi son to find them. cop are also after them. kari skogland donal logu max perlich paul sorvino callum keith renni"
Twilight,drama crime mysteri thriller ex-cop retir a retir ex-cop and privat detect get mix up in murder when he is ask to deliv blackmail money and walk into a 20 year old case involv the mysteri disappear of an actress' former husband. robert benton paul newman susan sarandon gene hackman rees witherspoon
U.S. Marshals,"thriller crime action cia transport of prison innoc escap agent u.s. marshal sam gerard is accompani a plane load of convict from chicago to new york. the plane crash spectacularly, and mark sheridan escapes. but when diplomat secur agent john royc is assign to help gerard recaptur sheridan, it becom clear that sheridan is more than just anoth murderer. stuart baird tommi lee jone wesley snipe robert downey jr. joe pantoliano"
Welcome to Woop Woop,music comedi fantasi adventur australian australia con artist american abroad a con artist escap a deal gone wrong in new york and wind up in the aussi outback in a strang town whose inhabit are an oddbal collect of misfits. stephan elliott johnathon schaech rod taylor susi porter richard moir
Love and Death on Long Island,"drama romanc foreign obsess love obsess love actor gile de'ath is a widow who doesn't like anyth modern. he goe to movi and fall in love with film star, ronni bostock. he then investig everyth about the movi and ronnie. after that he travel to long island citi where ronni live and meet him, pretend that ronni is a great actor and that' whi gile admir him. richard kwietniowski john hurt jason priestley sheila hancock mauri chaykin"
Midaq Alley,"drama male nuditi mexico prostitut adulteri sexual base on novel dream pimp nuditi gay parent mexican neighborhood heat tempers, frustrat desir and dash hope plagu a divers group of individu whose live cross path in mexico city. there is the bar-owner' son, chava, who yearn to emigr to america. a poor barber, abel, is madli in love with the gorgeou alma, who eventu becom a high-class prostitute. finally, there is susanita, the desper spinster who pursu mani love affair in hope of find a husband. jorg fon ernesto gómez cruz maría rojo salma hayek bruno bichir"
In God's Hands,"adventur surfer wave surfboard surf travel three pro surfer - gift shane, once-great mickey and rise young star keoni travel to madagascar, bali and hawaii in search for the ultim wave. zalman king patrick shane dorian matt georg matti liu shaun tomson"
Everest,"adventur documentari climb imax mountain climb mountain mount everest an intern team of climber ascend mt. everest in the spring of 1996. the film depict their lengthi prepar for the climb, their trek to the summit, and their success return to base camp. it also show mani of the challeng the group faced, includ avalanches, lack of oxygen, treacher ice walls, and a deadli blizzard. david breashear stephen judson greg macgillivray liam neeson ed viestur david breashear traci pfau"
Hush,"drama thriller hors farm fall borderlin person disord suspens domin mother jackson and helen are in love and about to have their first child when they move in with jackson' mother, martha, in order to take care of the famili estate. but all is not well in thi household. martha is jealou of her son' affect for helen, and, despit her southern smile, she' start to act strangely. as helen tri to creat a happi home life, martha attempt to divid the famili so that jackson will becom her alone. jonathan darbi jessica lang gwyneth paltrow johnathon schaech nina foch"
Suicide Kings,"action comedi crime drama thriller ransom hostag kidnap rain sister betray mobster hospit mansion pistol poker game killer alcohol group of friend hoodlum christoph walken shine in thi cult-favorit dark comedi as charlie, a former mobster who is abduct by five privileg young men (sean patrick flanery, johnni galecki, jay mohr, jeremi sisto, henri thomas) desper to rais a $2 million ransom to save the sister of a friend. as charli play mind games, however, hi captor splinter -- each wonder whether one of their own had a hand in the crime. peter o'fallon christoph walken henri thoma sean patrick flaneri jeremi sisto"
The Man in the Iron Mask,"action adventur drama franc swordplay mask musket year have pass sinc the three musketeers, aramis, atho and porthos, have fought togeth with their friend, d'artagnan. but with the tyrann king loui use hi power to wreak havoc in the kingdom while hi twin brother, philippe, remain imprisoned, the musket reunit to abduct loui and replac him with philippe. randal wallac leonardo dicaprio jeremi iron gérard depardieu gabriel byrn"
The Newton Boys,"crime action drama bank robber crime spree western u.s. four newton brother are a poor farmer famili in the 1920s. the oldest of them, willis, one day realiz that there' no futur in the field and offer hi brother to becom a bank robbers. soon the famili agrees. they becom veri famou robbers, and five year later execut the greatest train robberi in american history. richard linklat matthew mcconaughey skeet ulrich ethan hawk vincent d'onofrio"
Wild Things,"thriller upper class poison sailboat rape sexual abus florida erotic blackmail lolita cheerlead court case plan murder sail pretend murder seduct bisexu allig crocodil everglad heart-throb white trash menag a troi intellectu gift harpoon van plan court singl millionair extramarit affair duringcreditssting when teen-socialit kelli van ryan (richards) and troubl bad girl suzi toller (campbell) accus guidanc counselor sam lombardo (dillon) of rape, he' suspend by the school, reject by the town, and fight to get hi life back. one cop (bacon) suspect conspiracy, but noth is what it seems... john mcnaughton matt dillon kevin bacon denis richard neve campbel"
Paulie,"comedi famili parrot research thief girl mexican american paulie, an intellig parrot who actual talks, relat the stori of hi struggl to a russian immigr who work as a janitor at the research institut where he is hous and neglected. paulie' stori begin mani year earlier when he is given as a gift to a littl girl who stutters. eventually, he teach the girl to speak correctli but is taken away by her father becaus he believ the girl cannot distinguish fantasi from realiti becaus she believ the bird can talk. pauli goe through a seri of adventur with a pawn shop owner, an age widow, a mexican-american troubadour and a would be thief befor be taken to the institut where he now live john robert gena rowland toni shalhoub cheech marin bruce davison"
"A Cool, Dry Place","drama romanc love triangl kansa singl father baskebal a singl father balanc hi work as an attorney with the care of hi five year old son and hi work as a high school basketbal coach in rural kansas, where he move after hi wife abandon him in chicago. just as he start to develop a new relationship with a veterinarian' assistant, hi ex-wif suddenli reappear and want to re-assert herself in her husband and son' life. on top of the romant conflict, he is also suddenli present with the opportun of a lifetim to join a major firm in dallas. john n. smith vinc vaughn monica potter joey lauren adam devon sawa"
Fireworks,"crime drama gambl farewel sea beach yakuza loss japanes mafia a polic offic leav the forc in the face of harrow person and profession difficulties. spiral into a depression, he make question decisions. takeshi kitano takeshi kitano kayoko kishimoto ren osugi susumu terajima"
Primary Colors,"comedi drama white hous usa presid presidenti elect scandal georg w. bush extramarit affair in thi adapt of the best-sel roman à clef about bill clinton' 1992 run for the white house, the young and gift henri burton is tap to overse the presidenti campaign of governor jack stanton. burton is pull into the politician' color world and look on as stanton -- who ha a wander eye that could be hi downfal -- contend with hi ambiti wife, susan, and an outspoken adviser, richard jemmons. mike nichol john travolta emma thompson billi bob thornton kathi bate"
"Niagara, Niagara","drama romanc pharmacist polic tourett syndrom doll pharmaci ""niagra, niagra"" begin quietli in a drugstor in poughkeepsie, where marcie, the film' disarm heroine, like to shoplift. she liter crash into seth, a quiet outsider, also on a shoplift spree. marci invit seth to accompani her to canada to find a black hairstyl head. they set off in seth' beat-up station wagon, destin for a toy store in toronto. while on the road, marci confid to seth that she ha tourette' syndrome, necessit a seri of detour to liquor stori and pharmaci along the road of upstat new york. bob goss robin tunney henri thoma michael park stephen lang"
Wide Awake,"comedi drama famili boys' school a feel-good comedi about the laughter, excit and fun that come with be a kid! joshua is a thought 10-year-old look for some simpl answer to life' etern questions. the problem is that no one - includ hi concern parent and hi 5th grade teacher - seem to be make ani sense! m. night shyamalan deni leari joseph cross rosi o'donnel dana delani"
A Price Above Rubies,drama romanc independ film about a young woman who is marri to a devout jew and the problem that troubl their marriag becaus of the woman want someth more out of her life. boaz yakin rené zellweg julianna marguli christoph eccleston allen payn
Eden,"drama housewif board school teacher new england infatu multipl sclerosi stori of a new england boys' school and of one of the student who is infatu with an instructor' wife who ha multipl sclerosis. the woman struggl to show her strict husband how love rather than demand help the student to blossom, but final she fall into a coma. while she is abl to have some 'look down' awar of what is happening, her coma is what bring her husband to an understand of the need of others. howard goldberg joanna go dylan walsh sean patrick flaneri anna fari"
Two Girls and a Guy,"drama romanc love reveng loft analingu actor two women confront their boyfriend, a two-tim actor who profess etern love to each. jame toback robert downey jr. natasha gregson wagner heather graham angel david"
No Looking Back,drama comedi romanc waitress small town old flame charli return to hi old town where he meet hi ex-girlfriend again and tri to get her back. edward burn lauren holli edward burn jon bon jovi blyth danner
Storefront Hitchcock,"documentari live perform by robyn hitchcock, in... well, a storefront. jonathan demm robyn hitchcock"
The Proposition,"drama romanc parish steril priest miscarriag woman director father michael mckinnon goe from the uk to boston circa 1935. for unknown reasons, he avoid at all cost the most promin parishioners, arthur and eleanor barret. meanwhil eleanor and arthur desper want to have a child, but arthur is sterile, so they hire harvard law student roger martin to impregn eleanor, but unfortun roger fall in love with her. lesli linka glatter kenneth branagh madelein stow william hurt robert loggia"
The Object of My Affection,"comedi drama romanc blind date love fall in love gay man straight woman relationship a pregnant new york social worker begin to develop romant feel for her gay best friend, and decid she'd rather rais her child with him, much to the dismay of her overbear boyfriend. nichola hytner jennif aniston paul rudd hayden panettier alan alda"
Meet the Deedles,anim comedi famili two surfer end up as yellowston park ranger and have to stop a former ranger who is out for revenge. steve boyum paul walker john ashton denni hopper eric braeden
Homegrown,"drama action comedi thriller crime three labor on a northern california marijuana plantat becom increasingli paranoid when they learn that their boss ha been murdered. they know enough to run, take with them enough of the crop to pay them for servic rendered. hook up with go-between luci in the next town, they plot their next move. stephen gyllenha billi bob thornton hank azaria kelli lynch jon bon jovi"
The Players Club,"drama strip club stripper dominatrix cat fight young singl mother diana struggl to provid for her child and pay for her colleg education. she end up work at a shoe store, but meet two stripper from a nearbi gentlemen' club who convinc her there' fast money to be made stripping. at the player club, however, diana face danger and heartbreak. ice cube lisaray mccoy dick anthoni william judyann elder chrystal wilson"
Barney's Great Adventure,"famili mom and dad dump son cody, daughter abby, her best friend marcella and a babi on the farm with grandpa and grandma. purpl dinosaur barney soon appear to entertain kids, and when a larg color egg deposit on a farm by a shoot star is accident cart off, barney and kid start their chase for it steve gomer"
The Big One,"documentari prison airport narrat ohio protest the big one is an investig documentari from director michael moor who goe around the countri ask whi big american corpor produc their product abroad where labor is cheaper while so mani american are unemployed, lose their jobs, and would happili be hire by such compani as nike. michael moor michael moor elain bli jim czarnecki brian danitz"
Chinese Box,"drama romanc independ film the stori of hong kong, from new year' day to june 30th, 1997, when the british left their coloni and turn it over to the people' republ of china. wayn wang jeremi iron gong li maggi cheung michael hui"
Lost in Space,"adventur famili scienc fiction time travel sabotag deep space explor the prospect for continu life on earth in the year 2058 are grim. so the robinson are launch into space to colon alpha prime, the onli other inhabit planet in the galaxy. but when a stowaway sabotag the mission, the robinson find themselv hurtl through unchart space. stephen hopkin gari oldman william hurt matt leblanc mimi roger"
Heaven's Burning,"drama action thriller crime japanes bank hostag love on the run in sydney, the newli marri midori is honeymoon with her husband, yukio. she doe not love him and fake her own kidnap to escap the marriage. her lover is suppos to meet her, but fail to appear. she goe to a bank to get some cash, onli to becom a hostag in an unfold robbery, until the getaway driver, colin, save her from hi fellow robbers. they hit the road together, with the cops, her husband and the robber in pursuit. craig lahiff russel crow youki kudoh kenji isomura ray barrett"
Mercury Rising,"action crime drama thriller assassin loss of famili autism fbi bangkok nation secur agenc (nsa) boy child in peril fbi agent renegad fbi agent art jeffri protect a nine-year-old autist boy who ha crack the government' new ""unbreakable"" code. harold becker bruce willi alec baldwin miko hugh chi mcbride"
The Spanish Prisoner,crime drama mysteri thriller dialogu confid invent independ film an employe of a corpor with a lucr secret process is tempt to betray it. but there' more to it than that. david mamet steve martin campbel scott ben gazzara rebecca pidgeon
City of Angels,"drama fantasi romanc suicid angel life and death desper oper heaven faith afterlif lo angel interspeci romanc when guardian angel seth -- who invis watch over the citizen of lo angel -- becom captiv by maggie, a strong-wil heart surgeon, he ponder trade in hi pure, otherworldli exist for a mortal life with hi beloved. the coupl embark on a tender but forbidden romanc span heaven and earth. brad silberl nicola cage meg ryan andr braugher denni franz"
The Last Days of Disco,comedi drama romanc new york sex dancer sexual depress jealousi nightclub nuditi investig addict liar love friend independ film theft drug death disco two young women and their friend spend spare time at an exclus nightclub in 1980 new york. whit stillman chloë sevigni kate beckinsal chri eigeman mackenzi astin
The Odd Couple II,"adventur comedi road trip wed date 30 year after the first film, oscar and felix embark on a road trip together, to attend the wed of oscar' son to felix' daughter. howard deutch jack lemmon walter matthau richard riehl jonathan silverman"
My Giant,"comedi drama famili tall man romania giant billi crystal play a hollywood agent who stumbl upon max, a giant live in romania, and tri to get him into the movies. michael lehmann billi crystal kathleen quinlan joanna pacula jere burn"
He Got Game,drama prison father son relationship homicid begnadigung releas from prison forgiv colleg basketbal independ film a basketbal player' father must tri to convinc him to go to a colleg so he can get a shorter sentence. spike lee denzel washington ray allen milla jovovich rosario dawson
The Gingerbread Man,"thriller secret to shoot dead daughter lawyer savannah lawyer rick magrud is at a parti celebr hi courtroom victori defend a cop killer when a member of the cater staff, mallori doss, discov her car ha been stolen. have had a few drinks, magrud offer to give her a lift home, a decis that turn into a one night stand. rick soon learn that her nut-cas father, dixon, seem to have begun threaten her again. rick put the forc of hi law firm behind mallory, who he bare knows, ha dixon pick up by the police, and subpoena the girl' belliger ex-husband, pete, to testifi against the old man. dixon is put away in an asylum. however, he soon escapes, put the live of everyon who conspir against him in jeopardy. robert altman kenneth branagh embeth davidtz robert downey jr. daryl hannah"
Illtown,"dant and hi girlfrend micki run a veri profit drug oper in a seasid town, aid and abet by a host of teen who sell the smack at disco around town, as well as by lucas, a corrupt cop who' on the take. their downfal come when they suspect one of the boys, pep, of rip them off, and hi accident death caus disloyalti among the teens, who suspect dant of them. all of thi is perfect for the return of gabriel, a one-tim partner of dante, who ha just been releas from jail, and ha an almost angel demeanor and the certainti that he can fix everyone' lives. nick gomez michael rapaport lili taylor adam trese kevin corrigan"
Slappy and the Stinkers,"adventur famili kid sea lion five 2nd-grade kid who don't follow strict rule by their school princip brinway are dub ""stinkers"" by him. on the class visit to an aquarium the stinker decid that a sea lion call slappi doesn't feel too good there, ""free"" him, and plant him into brinway' hot-tub. barnet kellman bd wong jennif coolidg bronson pinchot joseph ashton"
Live Flesh,drama romanc thriller sexual obsess prostitut adulteri adolesc drug abus sexual abus madrid parapleg bu pregnanc and birth a scorn ex-convict forc himself into the live of the coupl who put him behind bars. pedro almodóvar liberto rabal francesca neri javier bardem penélop cruz
Zero Effect,"comedi crime mysteri thriller detect blackmail independ film daryl zero is a privat investigator. along with hi assistant, steve arlo he solv imposs crime and puzzles. though a master investigator, when he is not working, zero doesn't know what to do with himself. he ha no social skills, write bad music, and drive arlo crazy. in hi latest case, zero must find out who is blackmail a rich executive, and when hi client won't tell him, why. jake kasdan bill pullman ben stiller ryan o'neal kim dicken"
Nil by Mouth,"drama violent husband underclass class drug scene addict dysfunct famili drug the famili of raymond, hi wife val and her brother billi live in working-class london district. also in their famili is val and billy' mother janet and grandmoth kath. billi is a drug addict and raymond kick him out of the house, make him live on hi own. raymond is gener a rough and even violent person, and that lead to problem in the life of the family. gari oldman ray winston kathi burk charli creed-mil laila mors"
Ratchet,"thriller screenwrit beach island have miss sever deadlines, and with the studio' attorney hassl him, screenwrit elliot callahan (tom gilroy) take the advic of hi agent and rent a beachsid hous on the island nantucket to find the peac and quiet he need to get the creativ juic flowing. there he meet the serious intens henri carver (matthew dixon), who' written a screenplay he want callahan to read. befor long, callahan suspect that henri might be a serial killer write about himself and that hi screenplay is worth plagiarizing. john johnson tom gilroy margaret welsh mitchel lichtenstein nurit koppel"
The Borrowers,"adventur fantasi action comedi famili dwarv household lawyer littl peopl child' point of view real estat the four-inch-tal clock famili secretli share a hous with the normal-s lender family, ""borrowing"" such item as thread, safeti pins, batteri and scrap of food. however, their peac co-exist is disturb when evil lawyer ociou p. potter steal the will grant titl to the house, which he plan to demolish in order to build apartments. the lender are forc to move, and the clock face the risk of be expos to the normal-s world. peter hewitt john goodman jim broadbent celia imri tom felton"
Prince Valiant,"adventur fantasi sword princ camelot vike princess knight king excalibur an arthurian legend of young princ valiant, son of the king of scandia. after the king is exil by an evil leader, the princ travel to camelot to secur the aid of king arthur in help restor hi famili to power and prevent a plot by the black knight. anthoni hickox stephen moyer katherin heigl thoma kretschmann edward fox"
"I Love You, Don't Touch Me!","comedi romanc woman director the stori of a 25 year old virgin girl, look for the right boyfriend, not realiz that ""the one"" ha been next to her for mani years. juli davi marla schaffel mitchel whitfield michael harri meredith scott lynn"
Leather Jacket Love Story,"drama comedi romanc kyle is 18, an aspir poet hope to find inspir by move to the arti silver lake neighborhood of la, and mayb love too. on day one, he find a funki coffe shop, where he hope to do some writing, but instead meet an older hunk. david decoteau sean tataryn christoph bradley geoff moodi héctor mercado"
Love Walked In,drama thriller two romant involv down-and-out loung singer get involv in a caper. juan josé campanella deni leari terenc stamp aitana sánchez-gijón michael badalucco
"An Alan Smithee Film: Burn, Hollywood, Burn","comedi alan smithe filmmak alan smithe find himself the unwil puppet of a potenti bad, big budget action film which he proce to steal the reel and leav the cast and crew in a frenzy. alan smithe arthur hiller jacki chan sylvest stallon whoopi goldberg eric idl"
Kissing a Fool,"comedi romanc max (david schwimmer), an alpha-mal commitment-phob sport broadcaster, and jay (jason lee), a neurot novelist, have been best friend sinc childhood. jay set max up with hi editor samantha (mili avital). although they share few interests, they are engag within two weeks. still, when max is confront with the fact that sam will be the last woman he will sleep with, he propos a test. jay will hit on sam. if she show no interest, then max will be confid enough in her loyalti to go ahead with the marriage. though when jay hit on sam, they end up fall in love with each other. doug ellin david schwimmer jason lee mili avit bonni hunt"
Krippendorf's Tribe,"comedi drama famili singl parent base on novel expedit professor colleg circumcis famili relationship jungl anthropolog monkey lectur lost tribe fake footag hoax papua new guinea new guinea circumcis ritual after squander hi grant money, despond and recent widow anthropologist jame krippendorf must produc hard evid of the exist of a heretofor undiscov new guinea tribe. grass skirts, makeup, and stage ritual transform hi three troubl children into the shelmikedmu, a primit cultur whose habit enthral scholars. but when a spite rival threaten to blow the whistl on krippendorf' ruse, he get into the act as well. todd holland richard dreyfuss jenna elfman zake moka siobhan fallon"
Kurt & Courtney,"documentari music sing embryo live under the bridg music right after rocker kurt cobain' death, rule a suicide, a film crew arriv in seattl to make a documentary. director nick broomfield talk to lot of people. portrait emerge: a shy, slight kurt, weari of touring, embarrass by fame, hook on heroin; an out-go courtney, dramatic, controlling, move from groupi to star. nick broomfield nick broomfield dylan carlson kurt cobain el duce"
The Real Blonde,"comedi drama romanc sex photograph nuditi satir job conspiraci model fashion waiter aspir manhattan, new york citi voyeur an aspir actor (matthew modine) and hi girlfriend (catherin keener) handl life' frustrations, while hi friend seek fulfil with a blond (daryl hannah). tom dicillo matthew modin catherin keener daryl hannah elizabeth berkley"
Mr. Nice Guy,crime action comedi journalist martial art cook drug dealer a chines chef accident get involv with a news report who film a drug bust that went awri and is now be chase by gang who are tri to get the video tape. sammo hung jacki chan richard norton miki lee gabriel fitzpatrick
Taste of Cherry,"drama muslim iranian new wave a middle-ag tehranian man, mr. badii is intent on kill himself and seek someon to buri him after hi demise. drive around the city, the seemingli well-to-do badii meet with numer people, includ a muslim student, ask them to take on the job, but initi he ha littl luck. eventually, badii find a man who is up for the task becaus he need the money, but hi new associ soon tri to talk him out of commit suicide. abba kiarostami homayoun ershadi abdolrahman bagheri afshin khorshid bakhtiari safar ali moradi"
Character,"drama foreign histori law and ethic j.w. katadreuff is the son of joba katadreuff and a.b. drevenhaven. though fulli neglect by joba, dreverhaven ensur the succesful career of hi son. mostli unseen, though he sue hi son a few times. the son katadreuff succeeds, but at great costs. mike van diem jan decleir fedja van huêt betti schuurman tamar van den dop"
Junk Mail,"comedi thriller anti hero fals ident postman dimwitted, somewhat misanthrop oslo mail carrier roy' quiet life chang dramat on the day he steal a set of key and let himself into the apart of a deaf woman who seem to be in troubl with a psychot criminal. though he doesn't know it at the time, hi and her fate are about to intertwin and thi is not go to be to hi benefit. pål sletaun robert skjærstad andrin sæther per egil ask eli ann linnestad"
